DEPTH,CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
500.0,,,,,,,,,,,,,
500.1524,,,,,,,,,,,,,
500.3048,,,,,,,,,,,,,
500.4572,,,,,,,,,,,,,
500.6096,,,,,,,,,,,,,
500.762,,,,,,,,,,,,,
500.9144,,,,,,,,,,,,,
501.0668,,,,,,,,,,,,,
501.2192,,,,,,,,,,,,,
501.3716,,,,,,,,,,,,,
501.524,,,,,,,,,,,,,
501.6764,,,,,,,,,,,,,
501.8288,,,,,,,,,,,,,
501.9812,,,,,,,,,,,,,
502.1336,,,,,,,,,,,,,
502.286,,,,,,,,,,,,,
502.4384,,,,,,,,,,,,,
502.5908,,,,,,,,,,,,,
502.7432,,,,,,,,,,,,,
502.8956,,,,,,,,,,,,,
503.048,,,,,,,,,,,,,
503.2004,,,,,,,,,,,,,
503.3528,,,,,,,,,,,,,
503.5052,,,,,,,,,,,,,
503.6576,,,,,,,,,,,,,
503.81,,,,,,,,,,,,,
503.9624,,,,,,,,,,,,,
504.1148,,,,,,,,,,,,,
504.2672,,,,,,,,,,,,,
504.4196,,,,,,,,,,,,,
504.572,,,,,,,,,,,,,
504.7244,,,,,,,,,,,,,
504.8768,,,,,,,,,,,,,
505.0292,,,,,,,,,,,,,
505.1816,,,,,,,,,,,,,
505.334,,,,,,,,,,,,,
505.4864,,,,,,,,,,,,,
505.6388,,,,,,,,,,,,,
505.7912,,,,,,,,,,,,,
505.9436,,,,,,,,,,,,,
506.096,,,,,,,,,,,,,
506.2484,,,,,,,,,,,,,
506.4008,,,,,,,,,,,,,
506.5532,,,,,,,,,,,,,
506.7056,,,,,,,,,,,,,
506.858,,,,,,,,,,,,,
507.0104,,,,,,,,,,,,,
507.1628,,,,,,,,,,,,,
507.3152,,,,,,,,,,,,,
507.4676,,,,,,,,,,,,,
507.62,,,,,,,,,,,,,
507.7724,,,,,,,,,,,,,
507.9248,,,,,,,,,,,,,
508.0772,,,,,,,,,,,,,
508.2296,,,,,,,,,,,,,
508.382,,,,,,,,,,,,,
508.5344,,,,,,,,,,,,,
508.6868,,,,,,,,,,,,,
508.8392,,,,,,,,,,,,,
508.9916,,,,,,,,,,,,,
509.144,,,,,,,,,,,,,
509.2964,,,,,,,,,,,,,
