DEPTH,CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1796.7716,13.0006,-0.0213,2.2128,98.4249,190.41,203.0615,207.593,50.9728,0.3156,2.9729,1.2154,0.9482,0.8862,85.9375
1796.924,13.1308,-0.015,2.2207,97.8654,189.5284,202.7606,206.1386,51.6286,0.3308,3.7141,1.3746,0.9672,0.988,87.0625
1797.0764,13.6399,-0.0121,2.2239,98.2427,189.2528,202.1371,205.5272,54.9763,0.3589,4.6657,1.4922,0.9168,1.0637,86.3125
1797.2288,12.9923,-0.0109,2.2231,88.4746,188.4492,203.0615,207.2943,53.7115,0.3643,4.5391,1.5153,1.5451,1.0795,86.0
1797.3812,13.0022,-0.0111,2.2331,88.0014,187.3641,203.0615,207.0229,53.9607,0.3539,3.7404,1.4991,1.614,1.0576,85.1875
1797.5336,12.9113,-0.0129,2.2355,,187.7669,203.0615,207.0229,56.0272,0.3452,3.1145,1.4474,0.8055,1.0487,85.8125
1797.686,12.6982,-0.0203,2.2475,99.7296,187.3113,203.3732,207.3676,53.3794,0.3438,2.9959,1.4923,0.8297,1.0881,85.8125
1797.8384,12.4916,-0.0222,2.2588,97.7646,188.7621,203.685,207.5591,54.096,0.3508,3.2541,1.587,2.0401,1.133,84.3125
1797.9908,12.4844,-0.0217,2.284,89.4288,188.166,203.685,206.2876,58.6679,0.3495,3.3166,1.9365,1.9539,1.3509,85.4375
1798.1432,12.4964,-0.0245,2.2835,95.314,188.1375,203.685,209.4257,60.8365,0.3473,3.2176,2.1138,1.3998,1.443,84.8125
1798.2956,12.5248,-0.0239,2.2822,94.0887,188.5242,203.685,209.2969,61.5721,0.3538,3.0773,1.8949,1.3804,1.307,85.125
1798.448,12.5114,-0.0171,2.2625,95.2113,189.4267,203.685,208.5642,62.366,0.3476,2.9535,1.6235,1.3304,1.1359,85.75
1798.6004,12.3158,-0.0127,2.2386,95.5098,189.7396,203.9967,208.8722,59.8484,0.3439,2.8701,1.3415,1.2707,0.9681,85.0625
1798.7528,12.7386,-0.0138,2.2189,95.5619,189.8911,203.3262,208.2562,61.5539,0.3326,3.2296,1.2856,0.8603,0.9156,85.3125
1798.9052,12.7593,0.0052,2.1872,94.9581,189.344,202.8422,209.2195,56.826,0.3621,3.9689,1.2643,0.7848,0.9,85.625
1799.0576,12.9938,0.0094,2.1332,95.1838,189.5741,202.5313,208.9101,54.9461,0.3967,5.1677,1.2332,0.4929,0.8731,85.125
1799.21,12.8321,0.0004,2.0775,90.1325,189.6039,202.8422,209.2195,53.4275,0.4259,5.0937,1.2103,0.5194,0.8546,87.5625
1799.3624,12.6066,-0.0034,2.0959,91.268,189.6624,203.6108,209.5289,53.4343,0.4235,4.1129,1.2091,0.5597,0.8593,86.8125
1799.5148,12.8546,0.0015,2.1564,91.9914,189.7449,202.8725,209.2195,54.3922,0.4104,3.5987,1.1982,0.8577,0.8443,86.625
1799.6672,12.8389,-0.0164,2.1803,95.2806,190.3484,202.8725,209.2195,53.7269,0.4016,4.0314,1.1593,0.8656,0.8053,88.125
1799.8196,12.826,-0.0261,2.1621,95.4421,190.1392,203.2265,208.5306,52.1585,0.398,4.6525,1.1269,0.7533,0.795,87.25
1799.972,12.8335,-0.0296,2.1363,86.3939,189.7621,203.2265,208.5306,50.5415,0.4113,4.4076,1.1121,0.7524,0.7837,86.1875
1800.1244,12.7884,-0.0296,2.1387,,190.0977,203.0339,208.0511,47.9759,0.4046,3.837,1.1228,1.5905,0.8029,86.4375
1800.2768,12.6455,-0.0261,2.1685,91.2454,188.6985,203.0339,207.2946,57.8282,0.3888,3.394,1.3764,1.5893,0.9704,85.375
1800.4292,12.5704,-0.0206,2.215,93.6711,188.0769,203.3451,207.0757,58.7389,0.3656,3.5161,1.4484,1.6927,1.0065,87.0
1800.5816,12.2689,-0.0195,2.2357,96.0968,188.1319,203.6563,208.4135,56.0892,0.3585,3.6711,1.5209,1.5508,1.0608,86.5
1800.734,12.5862,-0.0199,2.2456,95.8758,188.2532,203.3451,207.2504,56.4551,0.3654,3.9515,1.6321,1.1425,1.1479,84.8125
1800.8864,12.3976,-0.0209,2.2366,96.5935,188.7542,203.3451,207.2504,55.4724,0.3683,4.0936,1.5325,1.1445,1.0808,87.4375
1801.0388,12.3942,-0.0203,2.2249,96.561,188.4163,203.3451,209.9241,53.0249,0.3797,4.3378,1.5158,0.8328,1.0708,87.0
1801.1912,12.3386,-0.0198,2.2126,96.6513,188.5857,202.8841,208.9362,53.4832,0.3699,3.8168,1.2954,0.6671,0.9261,84.875
1801.3436,12.3347,-0.0238,2.1906,96.4486,187.7985,202.8841,208.1718,47.2202,0.371,3.5461,1.2248,0.6758,0.8834,85.875
1801.496,12.1284,-0.0199,2.1989,96.7523,188.2383,203.4577,208.1718,51.5531,0.3593,3.1339,1.2237,0.9096,0.8837,86.875
1801.6484,12.4852,-0.0176,2.2158,96.9713,188.4233,203.1358,208.2487,51.1128,0.3589,3.5814,1.24,1.0106,0.8975,85.9375
1801.8008,12.3145,-0.0131,2.23,97.0808,188.0106,203.4577,208.8935,51.8713,0.3492,3.8877,1.4132,0.868,1.0058,87.625
1801.9532,12.3524,-0.0131,2.2226,96.3842,187.925,203.4577,208.8935,50.818,0.3524,4.1501,1.4387,0.8806,1.0312,87.125
1802.1056,12.5045,-0.0142,2.2146,96.9375,187.1866,203.1358,208.5855,50.5044,0.3487,4.0324,1.4421,0.974,1.0404,87.9375
1802.258,12.5979,-0.0169,2.2197,96.8284,186.5869,203.1358,208.2018,51.7401,0.3457,3.7777,1.4907,1.0108,1.0714,88.25
1802.4104,12.5906,-0.0149,2.2382,,187.2948,203.1358,208.2018,52.8748,0.3377,3.534,1.4381,0.9013,1.0356,86.5625
1802.5628,12.5094,-0.0174,2.2253,,187.4077,203.1358,208.2018,51.4437,0.3472,3.43,1.239,0.9166,0.9169,87.4375
1802.7152,12.3367,-0.0202,2.2126,,187.5336,203.4577,211.4453,50.6206,0.3577,3.223,1.2436,1.1897,0.9283,87.125
1802.8676,12.3473,-0.0226,2.2058,,188.0757,203.4577,211.4453,49.6501,0.3537,3.0269,1.2082,1.4383,0.911,86.4375
