DEPTH,AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL
380.188,,,,,,,,,,,,,
380.3404,,,,,,,,,,,,,
380.4928,,,,,,,,,,,,,
380.6452,,,,,,,,,,,,,
380.7976,,,,,,,,,,,,,
380.95,,,,,,,,,,,,,
381.1024,,,,,,,,,,,,,
381.2548,,,,,,,,,,,,,
381.4072,,,,,,,,,,,,,
381.5596,,,,,,,,,,,,,
381.712,,,,,,,,,,,,,
381.8644,,,,,,,,,,,,,
382.0168,,,,,,,,,,,,,
382.1692,,,,,,,,,,,,,
382.3216,,,,,,,,,,,,,
382.474,,,,,,,,,,,,,
382.6264,,,,,,,,,,,,,
382.7788,,,,,,,,,,,,,
382.9312,,,,,,,,,,,,,
383.0836,,,,,,,,,,,,,
383.236,,,,,,,,,,,,,
383.3884,,,,,,,,,,,,,
383.5408,,,,,,,,,,,,,
383.6932,,,,,,,,,,,,,
383.8456,,,,,,,,,,,,,
383.998,,,,,,,,,,,,,
384.1504,,,,,,,,,,,,,
384.3028,,,,,,,,,,,,,
384.4552,,,,,,,,,,,,,
384.6076,,,,,,,,,,,,,
384.76,,,,,,,,,,,,,
384.9124,,,,,,,,,,,,,
385.0648,,,,,,,,,,,,,
385.2172,,,,,,,,,,,,,
385.3696,,,,,,,,,,,,,
385.522,,,,,,,,,,,,,
385.6744,,,,,,,,,,,,,
385.8268,,,,,,,,,,,,,
385.9792,,,,,,,,,,,,,
386.1316,,,,,,,,,,,,,
386.284,,,,,,,,,,,,,
386.4364,,,,,,,,,,,,,
386.5888,,,,,,,,,,,,,
386.7412,,,,,,,,,,,,,
386.8936,,,,,,,,,,,,,
387.046,,,,,,,,,,,,,
387.1984,,,,,,,,,,,,,
387.3508,,,,,,,,,,,,,
387.5032,,,,,,,,,,,,,
387.6556,,,,,,,,,,,,,
387.808,,,,,,,,,,,,,
387.9604,,,,,,,,,,,,,
388.1128,,,,,,,,,,,,,
388.2652,,,,,,,,,,,,,
388.4176,,,,,,,,,,,,,
388.57,,,,,,,,,,,,,
388.7224,,,,,,,,,,,,,
388.8748,,,,,,,,,,,,,
389.0272,,,,,,,,,,,,,
389.1796,,,,,,,,,,,,,
389.332,,,,,,,,,,,,,
389.4844,,,,,,,,,,,,,
389.6368,,,,,,,,,,,,,
389.7892,,,,,,,,,,,,,
389.9416,,,,,,,,,,,,,
390.094,,,,,,,,,,,,,
390.2464,,,,,,,,,,,,,
390.3988,,,,,,,,,,,,,
390.5512,,,,,,,,,,,,,
390.7036,,,,,,,,,,,,,
390.856,,,,,,,,,,,,,
391.0084,,,,,,,,,,,,,
391.1608,,,,,,,,,,,,,
391.3132,,,,,,,,,,,,,
391.4656,,,,,,,,,,,,,
391.618,,,,,,,,,,,,,
391.7704,,,,,,,,,,,,,
391.9228,,,,,,,,,,,,,
392.0752,,,,,,,,,,,,,
392.2276,,,,,,,,,,,,,
392.38,,,,,,,,,,,,,
392.5324,,,,,,,,,,,,,
392.6848,,,,,,,,,,,,,
392.8372,,,,,,,,,,,,,
392.9896,,,,,,,,,,,,,
393.142,,,,,,,,,,,,,
393.2944,,,,,,,,,,,,,
393.4468,,,,,,,,,,,,,
393.5992,,,,,,,,,,,,,
393.7516,,,,,,,,,,,,,
393.904,,,,,,,,,,,,,
394.0564,,,,,,,,,,,,,
394.2088,,,,,,,,,,,,,
394.3612,,,,,,,,,,,,,
394.5136,,,,,,,,,,,,,
394.666,,,,,,,,,,,,,
394.8184,,,,,,,,,,,,,
394.9708,,,,,,,,,,,,,
395.1232,,,,,,,,,,,,,
395.2756,,,,,,,,,,,,,
395.428,,,,,,,,,,,,,
395.5804,,,,,,,,,,,,,
395.7328,,,,,,,,,,,,,
395.8852,,,,,,,,,,,,,
396.0376,,,,,,,,,,,,,
396.19,,,,,,,,,,,,,
396.3424,,,,,,,,,,,,,
396.4948,,,,,,,,,,,,,
396.6472,,,,,,,,,,,,,
396.7996,,,,,,,,,,,,,
396.952,,,,,,,,,,,,,
397.1044,,,,,,,,,,,,,
397.2568,,,,,,,,,,,,,
397.4092,,,,,,,,,,,,,
397.5616,,,,,,,,,,,,,
397.714,,,,,,,,,,,,,
397.8664,,,,,,,,,,,,,
398.0188,,,,,,,,,,,,,
398.1712,,,,,,,,,,,,,
398.3236,,,,,,,,,,,,,
398.476,,,,,,,,,,,,,
398.6284,,,,,,,,,,,,,
398.7808,,,,,,,,,,,,,
398.9332,,,,,,,,,,,,,
399.0856,,,,,,,,,,,,,
399.238,,,,,,,,,,,,,
399.3904,,,,,,,,,,,,,
399.5428,,,,,,,,,,,,,
399.6952,,,,,,,,,,,,,
399.8476,,,,,,,,,,,,,
400.0,,,,,,,,,,,,,
400.1524,,,,,,,,,,,,,
400.3048,,,,,,,,,,,,,
400.4572,,,,,,,,,,,,,
400.6096,,,,,,,,,,,,,
400.762,,,,,,,,,,,,,
400.9144,,,,,,,,,,,,,
401.0668,,,,,,,,,,,,,
401.2192,,,,,,,,,,,,,
401.3716,,,,,,,,,,,,,
401.524,,,,,,,,,,,,,
401.6764,,,,,,,,,,,,,
401.8288,,,,,,,,,,,,,
401.9812,,,,,,,,,,,,,
402.1336,,,,,,,,,,,,,
402.286,,,,,,,,,,,,,
402.4384,,,,,,,,,,,,,
402.5908,,,,,,,,,,,,,
402.7432,,,,,,,,,,,,,
402.8956,,,,,,,,,,,,,
403.048,,,,,,,,,,,,,
403.2004,,,,,,,,,,,,,
403.3528,,,,,,,,,,,,,
403.5052,,,,,,,,,,,,,
403.6576,,,,,,,,,,,,,
403.81,,,,,,,,,,,,,
403.9624,,,,,,,,,,,,,
404.1148,,,,,,,,,,,,,
404.2672,,,,,,,,,,,,,
404.4196,,,,,,,,,,,,,
404.572,,,,,,,,,,,,,
404.7244,,,,,,,,,,,,,
404.8768,,,,,,,,,,,,,
405.0292,,,,,,,,,,,,,
405.1816,,,,,,,,,,,,,
405.334,,,,,,,,,,,,,
405.4864,,,,,,,,,,,,,
405.6388,,,,,,,,,,,,,
405.7912,,,,,,,,,,,,,
405.9436,,,,,,,,,,,,,
406.096,,,,,,,,,,,,,
406.2484,,,,,,,,,,,,,
406.4008,,,,,,,,,,,,,
406.5532,,,,,,,,,,,,,
406.7056,,,,,,,,,,,,,
406.858,,,,,,,,,,,,,
407.0104,,,,,,,,,,,,,
407.1628,,,,,,,,,,,,,
407.3152,,,,,,,,,,,,,
407.4676,,,,,,,,,,,,,
407.62,,,,,,,,,,,,,
407.7724,,,,,,,,,,,,,
407.9248,,,,,,,,,,,,,
408.0772,,,,,,,,,,,,,
408.2296,,,,,,,,,,,,,
408.382,,,,,,,,,,,,,
408.5344,,,,,,,,,,,,,
408.6868,,,,,,,,,,,,,
408.8392,,,,,,,,,,,,,
408.9916,,,,,,,,,,,,,
409.144,,,,,,,,,,,,,
409.2964,,,,,,,,,,,,,
409.4488,,,,,,,,,,,,,
409.6012,,,,,,,,,,,,,
409.7536,,,,,,,,,,,,,
409.906,,,,,,,,,,,,,
410.0584,,,,,,,,,,,,,
410.2108,,,,,,,,,,,,,
410.3632,,,,,,,,,,,,,
410.5156,,,,,,,,,,,,,
410.668,,,,,,,,,,,,,
410.8204,,,,,,,,,,,,,
410.9728,,,,,,,,,,,,,
411.1252,,,,,,,,,,,,,
411.2776,,,,,,,,,,,,,
411.43,,,,,,,,,,,,,
411.5824,,,,,,,,,,,,,
411.7348,,,,,,,,,,,,,
411.8872,,,,,,,,,,,,,
412.0396,,,,,,,,,,,,,
412.192,,,,,,,,,,,,,
412.3444,,,,,,,,,,,,,
412.4968,,,,,,,,,,,,,
412.6492,,,,,,,,,,,,,
