DEPTH,CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
400.0,,,,,,,,40.3422,,,,,,
400.1524,,,,,,,,33.2559,,,,,,
400.3048,,,,,,,,45.1535,,,,,,
400.4572,,,,,,,,44.4256,,,,,,
400.6096,,,,,,,,42.1465,,,,,,
400.762,,,,,,,,28.9728,,,,,,
400.9144,,,,,,,,28.9214,,,,,,
401.0668,,,,,,,,42.2243,,,,,,
401.2192,,,,,,,,42.4015,,,,,,
401.3716,,,,,,,,42.7281,,,,,,
401.524,,,,,,,,41.7291,,,,,,
401.6764,,,,,,,,43.7388,,,,,,
401.8288,,,,,,,,42.3564,,,,,,
401.9812,,,,,,,,39.4311,,,,,,
402.1336,,,,,,,,42.2856,,,,,,
402.286,,,,,,,,42.5397,,,,,,
402.4384,,,,,,,,49.0336,,,,,,
402.5908,,,,,,,,43.8034,,,,,,
402.7432,,,,,,,,40.7505,,,,,,
402.8956,,,,,,,,40.3769,,,,,,
403.048,,,,,,,,37.2172,,,,,,
403.2004,,,,,,,,35.3017,,,,,,
403.3528,,,,,,,,32.585,,,,,,
403.5052,,,,,,,,30.37,,,,,,
403.6576,,,,,,,,26.8865,,,,,,
403.81,,,,,,,,26.2072,,,,,,
403.9624,,,,,,,,24.8914,,,,,,
404.1148,,,,,,,,23.6294,,,,,,
404.2672,,,,,,,,24.4273,,,,,,
404.4196,,,,,,,,23.5834,,,,,,
404.572,,,,,,,,23.0169,,,,,,
404.7244,,,,,,,,18.052,,,,,,
404.8768,,,,,,,,23.8127,,,,,,
405.0292,,,,,,,,22.5212,,,,,,
405.1816,,,,,,,,24.463,,,,,,
405.334,,,,,,,,23.3746,,,,,,
405.4864,,,,,,,,24.5491,,,,,,
405.6388,,,,,,,,26.8181,,,,,,
405.7912,,,,,,,,26.1278,,,,,,
405.9436,,,,,,,,26.9251,,,,,,
406.096,,,,,,,,25.8464,,,,,,
406.2484,,,,,,,,26.334,,,,,,
406.4008,,,,,,,,25.8465,,,,,,
406.5532,,,,,,,,24.6934,,,,,,
406.7056,,,,,,,,25.0369,,,,,,
406.858,,,,,,,,24.3222,,,,,,
407.0104,,,,,,,,29.4783,,,,,,
407.1628,,,,,,,,28.7488,,,,,,
407.3152,,,,,,,,27.1005,,,,,,
407.4676,,,,,,,,25.6294,,,,,,
407.62,,,,,,,,24.7657,,,,,,
407.7724,,,,,,,,24.0406,,,,,,
407.9248,,,,,,,,26.5152,,,,,,
408.0772,,,,,,,,25.5573,,,,,,
408.2296,,,,,,,,26.1573,,,,,,
408.382,,,,,,,,25.2606,,,,,,
408.5344,,,,,,,,30.0803,,,,,,
408.6868,,,,,,,,29.4007,,,,,,
408.8392,,,,,,,,29.4357,,,,,,
408.9916,,,,,,,,28.4511,,,,,,
409.144,,,,,,,,30.459,,,,,,
409.2964,,,,,,,,28.16,,,,,,
409.4488,,,,,,,,29.209,,,,,,
409.6012,,,,,,,,24.1959,,,,,,
409.7536,,,,,,,,25.1613,,,,,,
409.906,,,,,,,,28.3732,,,,,,
410.0584,,,,,,,,28.3453,,,,,,
410.2108,,,,,,,,27.7586,,,,,,
410.3632,,,,,,,,25.9069,,,,,,
410.5156,,,,,,,,27.7755,,,,,,
410.668,,,,,,,,27.6286,,,,,,
410.8204,,,,,,,,24.9441,,,,,,
410.9728,,,,,,,,23.8756,,,,,,
411.1252,,,,,,,,25.2789,,,,,,
411.2776,,,,,,,,26.9853,,,,,,
411.43,,,,,,,,27.8899,,,,,,
411.5824,,,,,,,,30.3017,,,,,,
411.7348,,,,,,,,29.2237,,,,,,
411.8872,,,,,,,,28.2449,,,,,,
412.0396,,,,,,,,27.5313,,,,,,
412.192,,,,,,,,26.5521,,,,,,
412.3444,,,,,,,,29.9999,,,,,,
412.4968,,,,,,,,29.5949,,,,,,
412.6492,,,,,,,,27.8961,,,,,,
412.8016,,,,,,,,26.3608,,,,,,
412.954,,,,,,,,25.7547,,,,,,
413.1064,,,,,,,,25.9076,,,,,,
413.2588,,,,,,,,32.1813,,,,,,
413.4112,,,,,,,,31.3565,,,,,,
413.5636,,,,,,,,31.2929,,,,,,
413.716,,,,,,,,32.3692,,,,,,
413.8684,,,,,,,,27.221,,,,,,
414.0208,,,,,,,,28.1614,,,,,,
414.1732,,,,,,,,28.4363,,,,,,
414.3256,,,,,,,,30.8801,,,,,,
414.478,,,,,,,,30.389,,,,,,
414.6304,,,,,,,,27.3704,,,,,,
414.7828,,,,,,,,25.549,,,,,,
