DEPTH,CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1781.2268,12.2584,-0.0113,2.1369,111.4984,222.9597,226.9479,56.1244,0.3545,2.6838,0.8386,2.2002,0.6973,-7.1875
1781.3792,12.2643,-0.012,2.1325,108.302,222.6771,219.3387,55.586,0.3438,2.6831,0.8367,2.1802,0.6881,-6.8125
1781.5316,12.2458,-0.0142,2.13,107.6437,215.7342,210.2833,58.6622,0.3418,2.6587,0.8314,0.6309,0.69,-5.75
1781.684,12.2619,-0.0134,2.1285,107.8316,215.4959,206.8913,59.3461,0.3509,2.6726,0.8347,0.607,0.6887,-5.0
1781.8364,12.272,-0.0117,2.132,108.5488,215.7896,204.9889,56.31,0.3456,2.622,0.8397,0.5903,0.6888,-5.375
1781.9888,12.3059,-0.011,2.1283,108.852,218.1045,207.3777,53.839,0.3408,2.5663,0.8484,0.5981,0.699,-4.375
1782.1412,12.3134,-0.0096,2.1282,109.796,218.1394,228.0571,53.5767,0.3447,2.4695,0.8546,0.6217,0.7175,-3.875
1782.2936,12.3122,-0.0077,2.1292,110.6387,220.5752,223.2775,53.2136,0.3462,2.455,0.85,0.6218,0.7043,-3.8125
1782.446,12.318,-0.009,2.1278,111.9409,221.1465,227.8716,54.3334,0.3492,2.4647,0.8428,0.5587,0.6964,-3.375
1782.5984,12.3154,-0.0127,2.1212,110.8034,226.8142,237.1386,54.9396,0.3362,2.4548,0.8397,0.5566,0.7025,-3.6875
1782.7508,12.313,-0.0126,2.1168,111.0197,229.5898,243.4453,55.4618,0.3419,2.4434,0.8393,0.5691,0.703,-3.1875
1782.9032,12.32,-0.0162,2.1158,111.8993,227.0015,242.4229,55.7224,0.3432,2.4044,0.8434,0.5751,0.6888,-3.0625
1783.0556,12.3084,-0.0181,2.117,112.831,231.8639,241.9697,58.0579,0.3548,2.4255,0.8347,0.6007,0.6843,-3.375
1783.208,12.3168,-0.0196,2.1238,109.8694,234.0285,226.7009,51.6723,0.354,2.4216,0.8106,0.5762,0.669,-3.375
1783.3604,12.3119,-0.0223,2.1236,109.8186,233.2568,228.6284,55.7377,0.3562,2.4496,0.7833,0.5699,0.6371,-3.0
1783.5128,12.3126,-0.0221,2.1264,110.7944,232.7301,228.288,54.7262,0.3605,2.5074,0.7571,0.5581,0.6093,-3.1875
1783.6652,12.3174,-0.0204,2.125,110.9761,229.7155,232.0547,56.9216,0.3662,2.5733,0.7362,0.558,0.5986,-3.25
1783.8176,12.3198,-0.0187,2.1236,110.6745,228.7029,236.7024,62.2289,0.3552,2.6036,0.7268,0.5608,0.6014,-3.75
1783.97,12.306,-0.0163,2.1224,110.7447,231.0939,228.9568,58.9179,0.3687,2.5365,0.731,0.5618,0.6087,-4.25
1784.1224,12.3168,-0.0128,2.1386,110.8438,232.5839,232.0075,56.3142,0.365,2.7602,0.8042,0.5554,0.6684,-3.5
1784.2748,12.3482,-0.0084,2.2307,110.6845,233.5587,230.8557,55.1916,0.3281,3.2752,1.0908,0.5564,0.8788,-4.0625
1784.4272,12.3501,0.0025,2.3525,112.8401,222.4845,222.3717,50.5801,0.2605,3.3603,1.2541,1.0219,1.0022,-4.125
1784.5796,12.3271,0.0088,2.4298,106.3695,204.8856,209.3152,55.8478,0.2258,2.9937,1.2808,1.2415,1.0304,-4.1875
1784.732,12.3134,-0.006,2.2982,99.6356,197.4522,193.0113,53.6472,0.2653,2.6062,1.1789,0.6421,0.9959,-5.125
1784.8844,12.3187,-0.014,2.1906,98.6328,194.8625,177.0708,55.147,0.3034,2.5145,0.9844,0.7795,0.8505,-5.0
1785.0368,12.3144,-0.0162,2.1261,105.2475,198.2335,178.8386,51.1879,0.331,2.4267,0.92,0.788,0.7853,-4.5625
1785.1892,12.313,-0.0185,2.1132,105.9335,195.0768,183.3717,49.7959,0.3354,2.3966,0.8673,0.8837,0.7428,-5.0
1785.3416,12.3382,-0.0172,2.1112,109.1382,198.2946,201.0623,49.9,0.3421,2.3922,0.7875,0.8766,0.7,-5.25
1785.494,12.3846,-0.0156,2.1116,105.6021,206.3894,203.9257,44.8855,0.3382,2.5896,0.8085,0.8156,0.7245,-5.875
1785.6464,12.3984,-0.0068,2.1272,112.1336,216.1001,228.8641,57.4881,0.3398,2.9992,0.906,0.8035,0.8018,-7.75
